lat,lon,yrstart,yrend
30.5,-86.5,1971,2006
36.5,-121.5,1931,1996
41.5,-71.5,1951,2003
-42.5,148.5,1880,2010
51.5,3.5,1970,2006
52.5,4.5,1970,2006
53.5,5.5,1970,2006
51.5,-10.5,1958,2003
36.5,-121.5,1931,1996
43.5,-6.5,1960,2005
46.5,-3.5,1960,2005
47.5,-2.5,1971,2005
51.5,-3.5,1981,2008
51.5,3.5,1964,2005
51.5,3.5,1970,2006
52.5,4.5,1969,2005
52.5,5.5,1952,1995
52.5,5.5,1960,2005
53.5,3.5,1960,1999
53.5,5.5,1970,2006
34.5,137.5,1965,2001
65.5,-67.5,1974,2001
36.5,-121.5,1931,1996
36.5,-121.5,1931,1996
36.5,-121.5,1931,1996
-42.5,148.5,1880,2010
30.5,-86.5,1971,2006
-29.5,31.5,1989,2007
-66.5,136.5,1952,1999
-66.5,140.5,1962,2001
-46.5,51.5,1965,1995
33.5,-121.5,1951,2002
-42.5,148.5,1880,2010
33.5,-121.5,1951,1998
33.5,-121.5,1951,2002
46.5,-3.5,1987,2006
52.5,4.5,1970,2006
53.5,5.5,1969,2008
54.5,-5.5,1962,2002
41.5,-71.5,1959,2005
41.5,-71.5,1959,2005
30.5,-86.5,1971,2006
-42.5,148.5,1880,2010
58.5,8.5,1992,2011
33.5,-121.5,1951,1998
33.5,-121.5,1951,1998
33.5,-121.5,1951,2002
46.5,-3.5,1987,2006
50.5,-4.5,1913,2002
-29.5,31.5,1989,2007
-29.5,31.5,1989,2007
59.5,7.5,1955,2009
59.5,7.5,1955,2009
62.5,-82.5,1981,2002
62.5,-77.5,1980,1999
-42.5,148.5,1880,2010
46.5,-3.5,1987,2006
50.5,-4.5,1913,2002
52.5,4.5,1970,2006
53.5,5.5,1969,2008
48.5,-18.5,1960,2000
55.5,1.5,1958,2004
55.5,2.5,1958,2000
56.5,5.5,1958,2002
58.5,1.5,1958,1999
55.5,2.5,1958,2000
55.5,3.5,1958,2002
58.5,1.5,1958,1999
51.5,-3.5,1981,2002
51.5,3.5,1970,2006
52.5,4.5,1970,2006
53.5,5.5,1970,2006
36.5,-121.5,1931,1996
59.5,7.5,1955,2009
41.5,-71.5,1959,2005
41.5,-71.5,1959,2005
46.5,-1.5,1973,2002
-29.5,31.5,1989,2007
-42.5,148.5,1880,2010
53.5,8.5,1972,2014
30.5,131.5,1985,2004
33.5,134.5,1954,2004
-24.5,153.5,1977,2004
-24.5,153.5,1967,2004
30.5,-86.5,1971,2006
-29.5,31.5,1989,2007
