lat,lon,yrstart,yrend
50.5,-4.5,1913,2002
52.5,4.5,1973,2002
41.5,14.5,1908,2005
41.5,14.5,1929,2005
41.5,14.5,1929,2005
33.5,-121.5,1951,1998
33.5,-121.5,1951,2002
30.5,-86.5,1971,2006
33.5,-121.5,1951,1998
33.5,-121.5,1951,2002
-42.5,148.5,1880,2010
50.5,-4.5,1913,2002
50.5,-4.5,1913,2002
51.5,-3.5,1981,2002
33.5,-121.5,1951,1998
33.5,-121.5,1951,2002
64.5,-168.5,1975,2001
-42.5,148.5,1880,2010
59.5,7.5,1955,2009
-42.5,148.5,1880,2010
57.5,-165.5,1975,2005
59.5,-172.5,1975,2005
50.5,-4.5,1951,1990
51.5,-3.5,1981,2008
52.5,4.5,1970,2006
53.5,5.5,1970,2006
41.5,-71.5,1959,2005
41.5,-71.5,1959,2005
51.5,-3.5,1981,2002
51.5,3.5,1970,2006
52.5,4.5,1970,2006
53.5,5.5,1970,2006
56.5,-8.5,1970,1998
56.5,19.5,1970,1998
57.5,3.5,1970,1998
58.5,23.5,1970,1998
64.5,-23.5,1985,2004
67.5,11.5,1970,1998
59.5,7.5,1955,2009
50.5,-2.5,1981,2005
56.5,-1.5,1967,2005
33.5,-121.5,1951,2002
51.5,-3.5,1981,2002
36.5,-121.5,1931,1996
-42.5,148.5,1880,2010
45.5,-3.5,1973,1995
51.5,-3.5,1981,2004
51.5,-3.5,1981,2008
52.5,4.5,1973,2002
52.5,4.5,1974,2007
36.5,-121.5,1931,1996
59.5,7.5,1955,2009
53.5,5.5,1970,2006
41.5,-71.5,1959,2005
41.5,-71.5,1959,2005
-42.5,148.5,1880,2010
45.5,-3.5,1976,2002
58.5,-5.5,1948,2003
-29.5,31.5,1989,2007
33.5,-121.5,1951,1998
33.5,-121.5,1951,2002
51.5,-3.5,1981,2002
51.5,-3.5,1981,2008
51.5,3.5,1970,2006
52.5,4.5,1970,2006
53.5,5.5,1970,2006
46.5,-3.5,1987,2006
47.5,-2.5,1981,2001
59.5,7.5,1955,2009
42.5,-8.5,1985,2014
54.5,7.5,1974,1994
33.5,-121.5,1951,1998
33.5,-121.5,1951,2002
-30.5,30.5,1989,2007
-29.5,31.5,1989,2007
54.5,7.5,1974,1994
39.5,-124.5,1985,2006
-42.5,148.5,1880,2010
51.5,3.5,1970,2006
52.5,4.5,1970,2006
53.5,5.5,1970,2006
56.5,3.5,1925,2004
55.5,3.5,1946,2002
47.5,-15.5,1950,2005
51.5,-3.5,1981,2008
55.5,-15.5,1958,2005
57.5,1.5,1925,2005
-42.5,148.5,1880,2010
30.5,-86.5,1971,2006
-41.5,146.5,1880,2010
-37.5,77.5,1971,1995
-54.5,-38.5,1985,2012
-42.5,148.5,1880,2010
-61.5,-55.5,1976,1995
-60.5,-40.5,1976,2003
-60.5,-40.5,1976,2003
51.5,3.5,1970,2006
36.5,-121.5,1931,1996
30.5,-86.5,1971,2006
-66.5,136.5,1964,2000
56.5,-169.5,1960,2000
64.5,-168.5,1960,2000
55.5,-161.5,1972,2005
50.5,-9.5,1970,1998
50.5,-4.5,1913,2002
51.5,-3.5,1981,2002
51.5,3.5,1970,2006
52.5,4.5,1970,2006
53.5,5.5,1970,2006
53.5,8.5,1972,2014
55.5,1.5,1958,2004
55.5,1.5,1958,2004
55.5,1.5,1970,1998
55.5,3.5,1963,2005
55.5,3.5,1963,2005
56.5,-10.5,1970,1998
56.5,-8.5,1970,1998
56.5,11.5,1970,1998
56.5,19.5,1970,1998
57.5,3.5,1970,1998
60.5,2.5,1980,1999
61.5,-8.5,1970,1998
63.5,-15.5,1970,1998
67.5,11.5,1970,1998
-41.5,146.5,1880,2010
-42.5,148.5,1880,2010
-42.5,148.5,1880,2010
-42.5,148.5,1880,2010
58.5,-5.5,1948,2003
64.5,-21.5,1985,2004
-42.5,148.5,1880,2010
-42.5,148.5,1880,2010
33.5,-120.5,1982,2006
-47.5,55.5,1981,2007
-42.5,148.5,1880,2010
-42.5,148.5,1880,2010
64.5,-168.5,1975,2000
65.5,-14.5,1985,2004
41.5,-71.5,1959,2005
41.5,-71.5,1959,2005
45.5,-3.5,1976,2002
33.5,-121.5,1951,1998
33.5,-121.5,1951,2002
58.5,-5.5,1948,2003
51.5,3.5,1970,2006
52.5,4.5,1970,2006
53.5,5.5,1970,2006
-41.5,146.5,1880,2010
-42.5,148.5,1880,2010
33.5,-121.5,1951,2002
33.5,-121.5,1951,1998
-42.5,148.5,1880,2010
30.5,-86.5,1971,2006
58.5,-5.5,1948,2003
-42.5,148.5,1880,2010
-41.5,146.5,1880,2010
36.5,-121.5,1931,1996
41.5,-71.5,1959,2005
41.5,-71.5,1959,2005
33.5,-121.5,1951,2002
41.5,-71.5,1959,2005
41.5,-71.5,1959,2005
46.5,-3.5,1987,2006
47.5,-2.5,1981,2001
51.5,-3.5,1981,2002
51.5,-3.5,1981,2008
51.5,3.5,1970,2006
52.5,4.5,1970,2006
53.5,5.5,1970,2006
53.5,8.5,1972,2014
63.5,-19.5,1985,2004
41.5,-71.5,1959,2005
41.5,-71.5,1959,2005
53.5,8.5,1972,2014
51.5,-3.5,1981,2008
51.5,3.5,1970,2006
52.5,4.5,1970,2006
53.5,5.5,1970,2006
33.5,-121.5,1951,1998
36.5,-121.5,1931,1996
64.5,-21.5,1985,2004
-29.5,31.5,1989,2007
30.5,-86.5,1971,2006
-29.5,31.5,1989,2007
30.5,-86.5,1971,2006
33.5,-121.5,1951,2002
56.5,-169.5,1975,2000
62.5,-82.5,1981,2002
62.5,-77.5,1980,1999
63.5,-23.5,1985,2004
58.5,-5.5,1948,2003
56.5,-10.5,1970,1998
59.5,1.5,1980,1999
61.5,-8.5,1970,1998
64.5,-20.5,1985,2004
67.5,11.5,1970,1998
50.5,-4.5,1913,2002
51.5,-3.5,1981,2002
51.5,3.5,1970,2006
52.5,4.5,1970,2006
53.5,5.5,1970,2006
56.5,-10.5,1970,1998
57.5,3.5,1970,1998
63.5,-20.5,1985,2004
41.5,-71.5,1959,2005
41.5,-71.5,1959,2005
45.5,-3.5,1973,1995
50.5,-4.5,1913,2002
51.5,-3.5,1981,2002
33.5,-121.5,1951,2002
58.5,-5.5,1948,2003
54.5,7.5,1974,1994
46.5,-3.5,1987,2006
50.5,-4.5,1913,2002
63.5,-21.5,1985,2004
46.5,-3.5,1987,2006
50.5,-4.5,1913,2002
64.5,-20.5,1985,2004
33.5,-121.5,1951,2002
50.5,-4.5,1913,2002
-43.5,147.5,1961,1997
-38.5,141.5,1873,1997
-38.5,144.5,1966,2000
-43.5,146.5,1947,1998
-43.5,146.5,1939,2000
54.5,7.5,1974,1994
50.5,-4.5,1913,2002
56.5,3.5,1925,2004
58.5,0.5,1925,2003
52.5,4.5,1973,2002
30.5,-86.5,1971,2006
33.5,-121.5,1951,2002
-42.5,148.5,1880,2010
41.5,-71.5,1959,2005
41.5,-71.5,1959,2005
40.5,-62.5,1977,2009
33.5,-121.5,1951,1998
33.5,-121.5,1951,1998
33.5,-121.5,1951,2002
51.5,-3.5,1981,2008
-42.5,148.5,1880,2010
-41.5,144.5,1880,2010
30.5,-86.5,1971,2006
56.5,3.5,1981,2002
-42.5,148.5,1880,2010
33.5,-121.5,1951,2002
33.5,-121.5,1951,2002
-38.5,55.5,1981,2007
36.5,-121.5,1931,1996
30.5,-86.5,1971,2006
-42.5,148.5,1880,2010
-42.5,148.5,1880,2010
-42.5,148.5,1880,2010
60.5,-84.5,1903,2005
-42.5,148.5,1880,2010
52.5,4.5,1970,2006
41.5,-71.5,1959,2005
41.5,-71.5,1959,2005
33.5,-121.5,1951,2002
-29.5,31.5,1989,2007
51.5,-3.5,1981,2008
55.5,-161.5,1972,2005
51.5,-3.5,1981,2008
54.5,-9.5,1958,2003
33.5,-121.5,1951,2002
38.5,-70.5,1972,2008
41.5,-71.5,1959,2005
41.5,-71.5,1959,2005
41.5,-71.5,1959,2005
41.5,-71.5,1959,2005
33.5,-121.5,1951,2002
-29.5,31.5,1989,2007
54.5,-5.5,1979,2004
54.5,7.5,1974,1994
41.5,-71.5,1959,2005
41.5,-71.5,1959,2005
36.5,-121.5,1931,1996
-47.5,55.5,1981,2007
46.5,-3.5,1987,2006
59.5,7.5,1955,2009
46.5,-3.5,1987,2006
-42.5,148.5,1880,2010
-29.5,31.5,1989,2007
-42.5,148.5,1880,2010
46.5,-3.5,1987,2006
47.5,-2.5,1981,2001
50.5,-9.5,1970,1998
50.5,-4.5,1913,2002
50.5,0.5,1970,1998
51.5,-3.5,1981,2002
51.5,3.5,1970,2006
52.5,4.5,1970,2006
53.5,5.5,1970,2006
53.5,8.5,1972,2014
56.5,-8.5,1970,1998
56.5,11.5,1970,1998
57.5,3.5,1970,1998
65.5,-21.5,1985,2004
33.5,-121.5,1951,2002
45.5,-3.5,1973,1995
50.5,-4.5,1913,2002
51.5,-3.5,1981,2002
57.5,3.5,1970,1998
61.5,-8.5,1970,1998
63.5,-15.5,1970,1998
64.5,-22.5,1985,2004
67.5,11.5,1970,1998
51.5,-3.5,1981,2008
51.5,2.5,1978,2009
59.5,7.5,1955,2009
41.5,-71.5,1959,2005
41.5,-71.5,1959,2005
-42.5,148.5,1880,2010
41.5,-71.5,1959,2005
41.5,-71.5,1959,2005
41.5,-71.5,1959,2005
41.5,-71.5,1959,2005
59.5,7.5,1955,2009
33.5,-121.5,1951,1998
33.5,-121.5,1951,2002
54.5,7.5,1974,1994
41.5,-71.5,1959,2005
41.5,-71.5,1959,2005
-35.5,55.5,1981,2007
59.5,7.5,1955,2009
-77.5,166.5,1959,1997
-69.5,39.5,1961,1999
-66.5,140.5,1984,2003
-64.5,-63.5,1976,1996
-62.5,-58.5,1978,1999
-60.5,-45.5,1978,1999
-60.5,-45.5,1979,1986
-60.5,-45.5,1987,2004
-60.5,-45.5,1978,2004
-60.5,-45.5,1978,2004
56.5,-169.5,1960,2000
64.5,-168.5,1960,2000
59.5,7.5,1955,2009
53.5,-5.5,1986,2004
53.5,0.5,1986,2004
56.5,-1.5,1986,2004
57.5,-7.5,1986,2004
59.5,-3.5,1986,2004
60.5,-0.5,1986,2004
59.5,7.5,1955,2009
45.5,-60.5,1910,1997
48.5,-18.5,1960,2000
-61.5,-55.5,1976,1996
-60.5,-40.5,1926,2003
42.5,-8.5,1906,2000
50.5,-4.5,1924,2000
56.5,3.5,1925,2004
58.5,0.5,1925,2003
40.5,1.5,1950,2003
56.5,3.5,1925,2004
41.5,-71.5,1959,2005
41.5,-71.5,1959,2005
51.5,3.5,1970,2006
52.5,4.5,1970,2006
53.5,5.5,1970,2006
50.5,-4.5,1913,2002
51.5,3.5,1970,2006
52.5,4.5,1970,2006
53.5,5.5,1970,2006
-29.5,31.5,1989,2007
33.5,-121.5,1951,2002
-42.5,148.5,1880,2010
-42.5,148.5,1880,2010
50.5,-4.5,1913,2002
50.5,-4.5,1913,2002
33.5,-121.5,1951,2002
33.5,-121.5,1951,2002
33.5,-121.5,1951,2002
50.5,-4.5,1951,1990
53.5,-9.5,1958,2003
-29.5,31.5,1989,2007
47.5,-2.5,1981,2001
50.5,-9.5,1970,1998
50.5,-4.5,1913,2002
50.5,0.5,1970,1998
51.5,-3.5,1981,2008
52.5,4.5,1970,2006
53.5,5.5,1970,2006
53.5,8.5,1972,2014
56.5,-8.5,1970,1998
30.5,-86.5,1971,2006
33.5,-121.5,1951,2002
52.5,4.5,1970,2006
56.5,19.5,1976,2000
58.5,-5.5,1948,2003
33.5,-121.5,1951,1998
33.5,-121.5,1951,2002
41.5,-71.5,1959,2005
41.5,-71.5,1959,2005
59.5,7.5,1955,2009
33.5,-121.5,1951,1998
33.5,-121.5,1951,2002
59.5,7.5,1955,2009
33.5,-121.5,1951,1998
33.5,-121.5,1951,2002
33.5,-121.5,1951,1998
33.5,-121.5,1951,2002
33.5,-121.5,1951,1998
33.5,-121.5,1951,2002
41.5,-71.5,1959,2005
41.5,-71.5,1959,2005
41.5,-71.5,1959,2005
41.5,-71.5,1959,2005
36.5,-121.5,1931,1996
33.5,-121.5,1951,2002
-41.5,55.5,1981,2007
30.5,-86.5,1971,2006
56.5,-169.5,1960,2000
36.5,-121.5,1931,1996
-41.5,146.5,1880,2010
33.5,-121.5,1951,2002
56.5,3.5,1925,2004
33.5,-121.5,1951,1998
33.5,-121.5,1951,2002
57.5,3.5,1970,1998
63.5,-22.5,1985,2004
50.5,-4.5,1913,2002
51.5,-3.5,1981,2002
53.5,5.5,1970,2006
56.5,3.5,1925,2004
50.5,-4.5,1913,2002
51.5,-3.5,1981,2002
52.5,4.5,1970,2006
53.5,5.5,1970,2006
56.5,3.5,1925,2004
-42.5,148.5,1880,2010
-42.5,148.5,1880,2010
40.5,-9.5,1960,1994
-42.5,148.5,1880,2010
41.5,-71.5,1959,2005
41.5,-71.5,1959,2005
72.5,-152.5,1985,2004
33.5,-121.5,1951,1998
33.5,-121.5,1951,2002
46.5,-3.5,1987,2006
50.5,-4.5,1913,2002
56.5,3.5,1925,2004
51.5,3.5,1970,2006
53.5,5.5,1970,2006
47.5,-4.5,1932,1990
34.5,-78.5,1986,2004
34.5,-78.5,1985,2004
34.5,-77.5,1986,2004
34.5,-77.5,1986,2004
34.5,-77.5,1986,2004
34.5,-77.5,1986,2004
34.5,-77.5,1985,2004
34.5,-77.5,1985,2004
34.5,-77.5,1985,2004
